_id,label,message
64b8f987a46019cfd17edd2b,ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat..."
64b8f987a46019cfd17edd2c,ham,Ok lar... Joking wif u oni...
64b8f987a46019cfd17edd2d,spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's
64b8f987a46019cfd17edd2e,ham,U dun say so early hor... U c already then say...
64b8f987a46019cfd17edd2f,ham,"Nah I don't think he goes to usf, he lives around here though"
64b8f987a46019cfd17edd30,spam,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv"
64b8f987a46019cfd17edd31,ham,Even my brother is not like to speak with me. They treat me like aids patent.
64b8f987a46019cfd17edd32,ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
64b8f987a46019cfd17edd33,spam,WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.
64b8f987a46019cfd17edd34,spam,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030
64b8f987a46019cfd17edd35,ham,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today."
64b8f987a46019cfd17edd36,spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info"
64b8f987a46019cfd17edd37,spam,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18"
64b8f987a46019cfd17edd38,ham,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.
64b8f987a46019cfd17edd39,ham,I HAVE A DATE ON SUNDAY WITH WILL!!
64b8f987a46019cfd17edd3a,spam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL"
64b8f987a46019cfd17edd3b,ham,Oh k...i'm watching here:)
64b8f987a46019cfd17edd3c,ham,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.
64b8f987a46019cfd17edd3d,ham,Fine if thats the way u feel. Thats the way its gota b
64b8f987a46019cfd17edd3e,spam,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+"
64b8f987a46019cfd17edd3f,ham,Is that seriously how you spell his name?
64b8f987a46019cfd17edd40,ham,I‘m going to try for 2 months ha ha only joking
64b8f987a46019cfd17edd41,ham,So ü pay first lar... Then when is da stock comin...
64b8f987a46019cfd17edd42,ham,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?
64b8f987a46019cfd17edd43,ham,Ffffffffff. Alright no way I can meet up with you sooner?
64b8f987a46019cfd17edd44,ham,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol
64b8f987a46019cfd17edd45,ham,Lol your always so convincing.
64b8f987a46019cfd17edd46,ham,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?
64b8f987a46019cfd17edd47,ham,"I'm back &amp; we're packing the car now, I'll let you know if there's room"
64b8f987a46019cfd17edd48,ham,Ahhh. Work. I vaguely remember that! What does it feel like? Lol
64b8f987a46019cfd17edd49,ham,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us"
64b8f987a46019cfd17edd4a,ham,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? 
64b8f987a46019cfd17edd4b,ham,K tell me anything about you.
64b8f987a46019cfd17edd4c,ham,For fear of fainting with the of all that housework you just did? Quick have a cuppa
64b8f987a46019cfd17edd4d,spam,Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged
64b8f987a46019cfd17edd4e,ham,Yup... Ok i go home look at the timings then i msg ü again... Xuhui going to learn on 2nd may too but her lesson is at 8am
64b8f987a46019cfd17edd4f,ham,"Oops, I'll let you know when my roommate's done"
64b8f987a46019cfd17edd50,ham,I see the letter B on my car
64b8f987a46019cfd17edd51,ham,Anything lor... U decide...
64b8f987a46019cfd17edd52,ham,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!
64b8f987a46019cfd17edd53,ham,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola
64b8f987a46019cfd17edd54,ham,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy"
64b8f987a46019cfd17edd55,spam,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow
64b8f987a46019cfd17edd56,ham,WHO ARE YOU SEEING?
64b8f987a46019cfd17edd57,ham,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...
64b8f987a46019cfd17edd58,ham,No calls..messages..missed calls
64b8f987a46019cfd17edd59,ham,Didn't you get hep b immunisation in nigeria.
64b8f987a46019cfd17edd5a,ham,"Fair enough, anything going on?"
64b8f987a46019cfd17edd5b,ham,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit"
64b8f987a46019cfd17edd5c,ham,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.
64b8f987a46019cfd17edd5d,ham,What you thinked about me. First time you saw me in class.
64b8f987a46019cfd17edd5e,ham,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;"
64b8f987a46019cfd17edd5f,ham,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight
64b8f987a46019cfd17edd60,ham,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about ""the cave"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing."
64b8f987a46019cfd17edd61,spam,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV
64b8f987a46019cfd17edd62,ham,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;
64b8f987a46019cfd17edd63,spam,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! "
64b8f987a46019cfd17edd64,ham,"Sorry, I'll call later in meeting."
64b8f987a46019cfd17edd65,ham,Tell where you reached
64b8f987a46019cfd17edd66,ham,Yes..gauti and sehwag out of odi series.
64b8f987a46019cfd17edd67,ham,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.
64b8f987a46019cfd17edd68,ham,Ha ha ha good joke. Girls are situation seekers.
64b8f987a46019cfd17edd69,ham,Its a part of checking IQ
64b8f987a46019cfd17edd6a,ham,"Sorry my roommates took forever, it ok if I come by now?"
64b8f987a46019cfd17edd6b,ham,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.
64b8f987a46019cfd17edd6c,spam,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589"
64b8f987a46019cfd17edd6d,ham,"Today is ""song dedicated day.."" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me..."
64b8f987a46019cfd17edd6e,spam,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or £1000. To claim txt DIS to 87121 18+6*£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ"
64b8f987a46019cfd17edd6f,spam,"Did you hear about the new ""Divorce Barbie""? It comes with all of Ken's stuff!"
64b8f987a46019cfd17edd70,ham,I plane to give on this month end.
64b8f987a46019cfd17edd71,ham,Wah lucky man... Then can save money... Hee...
64b8f987a46019cfd17edd72,ham,Finished class where are you.
64b8f987a46019cfd17edd73,ham,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX
